MAHARASHTRA
1. Achalpur (M Cl) [ MAH, Population: 107316, Class - I ]
2. Ahmadnagar UA [ MAH, Population: 347549, Class - I ]
3. Ahmadpur (M Cl) [ MAH, Population: 35805, Class - III ]
4. Ajra (CT) [ MAH, Population: 14849, Class - IV ]
5. Akkalkot (M Cl) [ MAH, Population: 38213, Class - III ]
6. Akola (M Cl) [ MAH, Population: 400520, Class - I ]
7. Akot (M Cl) [ MAH, Population: 80726, Class - II ]
8. Alandi (M Cl) [ MAH, Population: 17565, Class - IV ]
9. Alibag (M Cl) [ MAH, Population: 19496, Class - IV ]
10. Amalner (M Cl) [ MAH, Population: 91490, Class - II ]
11. Ambad (M Cl) [ MAH, Population: 26108, Class - III ]
12. Ambejogai (M Cl) [ MAH, Population: 69478, Class - II ]
13. Ambivali Tarf Wankhal (CT) [ MAH, Population: 6798, Class - V ]
14. Amravati (M Corp.) [ MAH, Population: 549510, Class - I ]
15. Anjangaon (M Cl) [ MAH, Population: 51170, Class - II ]
16. Arvi (M Cl) [ MAH, Population: 40575, Class - III ]
17. Ashta (M Cl) [ MAH, Population: 33203, Class - III ]
18. Aurangabad UA [ MAH, Population: 892483, Class - I ]
19. Ausa (M Cl) [ MAH, Population: 30876, Class - III ]
20. Babhulgaon (CT) [ MAH, Population: 6601, Class - V ]
21. Balapur (M Cl) [ MAH, Population: 39502, Class - III ]
22. Ballarpur (M Cl) [ MAH, Population: 89995, Class - II ]
23. Baramati (M Cl) [ MAH, Population: 51334, Class - II ]
24. Barshi (M Cl) [ MAH, Population: 104785, Class - I ]
25. Basmath (M Cl) [ MAH, Population: 57365, Class - II ]
26. Bhadravati (M Cl) [ MAH, Population: 56903, Class - II ]
27. Bhandara (M Cl) [ MAH, Population: 85213, Class - II ]
28. Bhingar (CT) [ MAH, Population: 7620, Class - V ] 
List of towns: Census of India 2001 Maharashtra– Page 2 of 13
MAHARASHTRA (Continued):
29. Bhiwandi UA [ MAH, Population: 621427, Class - I ]
30. Bhokardan (M Cl) [ MAH, Population: 16950, Class - IV ]
31. Bhor (M Cl) [ MAH, Population: 17886, Class - IV ]
32. Bhum (M Cl) [ MAH, Population: 17509, Class - IV ]
33. Bhusawal UA [ MAH, Population: 187564, Class - I ]
34. Bid (M Cl) [ MAH, Population: 138196, Class - I ]
35. Biloli (M Cl) [ MAH, Population: 13433, Class - IV ]
36. Birwadi (CT) [ MAH, Population: 7272, Class - V ]
37. Boisar (CT) [ MAH, Population: 14685, Class - IV ]
38. Brahmapuri (M Cl) [ MAH, Population: 31207, Class - III ]
39. Budhgaon (CT) [ MAH, Population: 14728, Class - IV ]
40. Buldana (M Cl) [ MAH, Population: 62972, Class - II ]
41. Chakan (CT) [ MAH, Population: 21680, Class - III ]
42. Chalisgaon(M Cl) [ MAH, Population: 91110, Class - II ]
43. Chandrapur (M Cl) [ MAH, Population: 289450, Class - I ]
44. Chandur (CT) [ MAH, Population: 21731, Class - III ]
45. Chandur (M Cl) [ MAH, Population: 17719, Class - IV ]
46. Chandurbazar (M Cl) [ MAH, Population: 17635, Class - IV ]
47. Chicholi (CT) [ MAH, Population: 18478, Class - IV ]
48. Chikhaldara (M Cl) [ MAH, Population: 4711, Class - VI ]
49. Chikhli (M Cl) [ MAH, Population: 48428, Class - III ]
